scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
lever,baseline_raw,lever-2026-04-01T21-08-50-251Z,lever_baseline_raw_048,runs/lever/raw/lever-2026-04-01T21-08-50-251Z,48,26-50,true,true,0,1,5.461,5451,1.584,7.473,212.887,256.504,65.43,71.248,50.6,93,5455.6,5884,6
lever,baseline_raw,lever-2026-04-01T21-10-09-381Z,lever_baseline_raw_049,runs/lever/raw/lever-2026-04-01T21-10-09-381Z,49,26-50,true,false,5,6,29.632,29631,0.883,6.134,213.834,243.816,71.993,78.653,76.25,93,5775.292,5844,28
lever,baseline_raw,lever-2026-04-01T21-10-48-123Z,lever_baseline_raw_050,runs/lever/raw/lever-2026-04-01T21-10-48-123Z,50,26-50,true,false,5,6,31.713,31710,0.874,3.157,212.305,239.012,69.807,75.501,83.414,94,5842.241,5872,30
lever,baseline_raw,lever-2026-04-01T21-11-33-032Z,lever_baseline_raw_051,runs/lever/raw/lever-2026-04-01T21-11-33-032Z,51,51-75,true,false,3,4,19.678,19676,1.131,7.916,216.209,256.633,67.849,74.901,76.368,94,5757.105,5883,19
lever,baseline_raw,lever-2026-04-01T21-12-06-684Z,lever_baseline_raw_052,runs/lever/raw/lever-2026-04-01T21-12-06-684Z,52,51-75,true,false,1,2,13.29,13288,1.077,3.021,207.646,257.633,66.451,74.969,78.8,91,5786,5786,11
lever,baseline_raw,lever-2026-04-01T21-13-36-674Z,lever_baseline_raw_053,runs/lever/raw/lever-2026-04-01T21-13-36-674Z,53,51-75,true,false,1,2,12.719,12718,0.992,5.609,206.141,253.246,68.196,75.62,82.75,94,5786.667,5788,12
lever,baseline_raw,lever-2026-04-01T21-14-06-884Z,lever_baseline_raw_054,runs/lever/raw/lever-2026-04-01T21-14-06-884Z,54,51-75,true,false,4,5,26.679,26297,1.064,7.911,246.911,265.531,70.338,77.061,61.348,94,5744.783,5887,25
lever,baseline_raw,lever-2026-04-01T21-15-47-048Z,lever_baseline_raw_055,runs/lever/raw/lever-2026-04-01T21-15-47-048Z,55,51-75,true,false,1,2,12.843,12841,0.777,2.358,214.94,258.992,69.601,76.999,58.455,92,5837,5837,12
lever,baseline_raw,lever-2026-04-01T21-16-10-960Z,lever_baseline_raw_056,runs/lever/raw/lever-2026-04-01T21-16-10-960Z,56,51-75,true,false,5,6,28.722,28720,0.845,4.595,213.905,248.039,72.946,80.359,0,0,0,0,28
lever,baseline_raw,lever-2026-04-01T21-16-52-183Z,lever_baseline_raw_057,runs/lever/raw/lever-2026-04-01T21-16-52-183Z,57,51-75,true,false,3,4,19.157,19156,0.838,7.74,217.012,254.059,69.33,77.028,73.222,94,5728.722,5881,19
lever,baseline_raw,lever-2026-04-01T21-17-23-580Z,lever_baseline_raw_058,runs/lever/raw/lever-2026-04-01T21-17-23-580Z,58,51-75,true,false,2,3,15.915,15902,1.398,6.643,210.914,250.867,70.187,77.856,82,92,5835.75,5837,16
lever,baseline_raw,lever-2026-04-01T21-18-54-266Z,lever_baseline_raw_059,runs/lever/raw/lever-2026-04-01T21-18-54-266Z,59,51-75,true,true,0,1,6.089,6086,1.675,6.245,192.992,255.719,72.754,78.142,89.167,93,5836,5837,6
lever,baseline_raw,lever-2026-04-01T21-20-18-181Z,lever_baseline_raw_060,runs/lever/raw/lever-2026-04-01T21-20-18-181Z,60,51-75,true,false,1,2,9.399,9397,1.805,5.615,207.068,249.074,67.621,75.5,55.8,94,5692.5,5857,10
lever,baseline_raw,lever-2026-04-01T21-20-37-575Z,lever_baseline_raw_061,runs/lever/raw/lever-2026-04-01T21-20-37-575Z,61,51-75,true,true,0,1,6.539,6532,1.031,3.305,207.102,255.344,69.777,78.67,84.857,94,5808.857,5810,7
lever,baseline_raw,lever-2026-04-01T21-20-58-119Z,lever_baseline_raw_062,runs/lever/raw/lever-2026-04-01T21-20-58-119Z,62,51-75,true,false,3,4,22.509,22503,0.975,4.44,216.589,257.582,67.257,75.098,59.895,96,5736.737,5875,21
