scenario,mode_folder,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,stored_attempts,corrected_attempts,duration_seconds,runtime_ms
lever,raw,baseline_raw,lever-2026-03-31T21-52-50-548Z,lever_baseline_raw_065,runs/lever/raw/lever-2026-03-31T21-52-50-548Z,65,51-75,true,false,1,2,7.729,7728
lever,raw,baseline_raw,lever-2026-03-31T21-53-03-204Z,lever_baseline_raw_066,runs/lever/raw/lever-2026-03-31T21-53-03-204Z,66,51-75,true,false,3,4,14.779,14778
lever,raw,baseline_raw,lever-2026-03-31T21-53-22-602Z,lever_baseline_raw_067,runs/lever/raw/lever-2026-03-31T21-53-22-602Z,67,51-75,true,false,3,4,14.805,14803
lever,raw,baseline_raw,lever-2026-03-31T21-53-42-564Z,lever_baseline_raw_068,runs/lever/raw/lever-2026-03-31T21-53-42-564Z,68,51-75,true,false,2,3,11.277,11276
lever,raw,baseline_raw,lever-2026-03-31T21-53-58-751Z,lever_baseline_raw_069,runs/lever/raw/lever-2026-03-31T21-53-58-751Z,69,51-75,true,false,5,6,21.885,21884
lever,raw,baseline_raw,lever-2026-03-31T21-54-25-504Z,lever_baseline_raw_070,runs/lever/raw/lever-2026-03-31T21-54-25-504Z,70,51-75,true,false,5,6,21.84,21838
lever,raw,baseline_raw,lever-2026-03-31T21-54-52-547Z,lever_baseline_raw_071,runs/lever/raw/lever-2026-03-31T21-54-52-547Z,71,51-75,true,true,0,1,4.358,4356
lever,raw,baseline_raw,lever-2026-03-31T21-55-01-967Z,lever_baseline_raw_072,runs/lever/raw/lever-2026-03-31T21-55-01-967Z,72,51-75,true,false,1,2,7.708,7707
lever,raw,baseline_raw,lever-2026-03-31T21-55-14-493Z,lever_baseline_raw_073,runs/lever/raw/lever-2026-03-31T21-55-14-493Z,73,51-75,true,true,0,1,4.284,4283
lever,raw,baseline_raw,lever-2026-03-31T21-55-23-519Z,lever_baseline_raw_074,runs/lever/raw/lever-2026-03-31T21-55-23-519Z,74,51-75,true,false,4,5,18.264,18263
lever,raw,baseline_raw,lever-2026-03-31T21-55-46-399Z,lever_baseline_raw_075,runs/lever/raw/lever-2026-03-31T21-55-46-399Z,75,51-75,true,false,5,6,21.989,21988
lever,raw,baseline_raw,lever-2026-03-31T21-56-13-122Z,lever_baseline_raw_076,runs/lever/raw/lever-2026-03-31T21-56-13-122Z,76,76-100,true,false,1,2,7.735,7734
lever,raw,baseline_raw,lever-2026-03-31T21-56-25-815Z,lever_baseline_raw_077,runs/lever/raw/lever-2026-03-31T21-56-25-815Z,77,76-100,true,false,3,4,14.814,14812
lever,raw,baseline_raw,lever-2026-03-31T21-56-45-343Z,lever_baseline_raw_078,runs/lever/raw/lever-2026-03-31T21-56-45-343Z,78,76-100,true,false,1,2,7.848,7847
lever,raw,baseline_raw,lever-2026-03-31T21-56-58-153Z,lever_baseline_raw_079,runs/lever/raw/lever-2026-03-31T21-56-58-153Z,79,76-100,true,true,0,1,4.195,4194
lever,raw,baseline_raw,lever-2026-03-31T21-57-07-215Z,lever_baseline_raw_080,runs/lever/raw/lever-2026-03-31T21-57-07-215Z,80,76-100,true,false,5,6,21.92,21919
lever,raw,baseline_raw,lever-2026-03-31T21-57-33-920Z,lever_baseline_raw_081,runs/lever/raw/lever-2026-03-31T21-57-33-920Z,81,76-100,true,true,0,1,4.308,4306
lever,raw,baseline_raw,lever-2026-03-31T21-57-42-948Z,lever_baseline_raw_082,runs/lever/raw/lever-2026-03-31T21-57-42-948Z,82,76-100,true,false,2,3,11.309,11308
lever,raw,baseline_raw,lever-2026-03-31T21-57-58-999Z,lever_baseline_raw_083,runs/lever/raw/lever-2026-03-31T21-57-58-999Z,83,76-100,true,false,3,4,14.779,14778
lever,raw,baseline_raw,lever-2026-03-31T21-58-18-749Z,lever_baseline_raw_084,runs/lever/raw/lever-2026-03-31T21-58-18-749Z,84,76-100,true,true,0,1,4.22,4218
lever,raw,baseline_raw,lever-2026-03-31T21-58-28-049Z,lever_baseline_raw_085,runs/lever/raw/lever-2026-03-31T21-58-28-049Z,85,76-100,true,false,2,3,11.278,11276
lever,raw,baseline_raw,lever-2026-03-31T21-58-44-369Z,lever_baseline_raw_086,runs/lever/raw/lever-2026-03-31T21-58-44-369Z,86,76-100,true,false,3,4,14.796,14795
lever,raw,baseline_raw,lever-2026-03-31T21-59-04-178Z,lever_baseline_raw_087,runs/lever/raw/lever-2026-03-31T21-59-04-178Z,87,76-100,true,false,5,6,21.815,21814
lever,raw,baseline_raw,lever-2026-03-31T21-59-30-893Z,lever_baseline_raw_088,runs/lever/raw/lever-2026-03-31T21-59-30-893Z,88,76-100,true,false,2,3,11.265,11263
lever,raw,baseline_raw,lever-2026-03-31T21-59-47-132Z,lever_baseline_raw_089,runs/lever/raw/lever-2026-03-31T21-59-47-132Z,89,76-100,true,false,2,3,11.247,11246
lever,raw,baseline_raw,lever-2026-03-31T22-00-03-389Z,lever_baseline_raw_090,runs/lever/raw/lever-2026-03-31T22-00-03-389Z,90,76-100,true,false,4,5,18.326,18325
lever,raw,baseline_raw,lever-2026-03-31T22-00-26-650Z,lever_baseline_raw_091,runs/lever/raw/lever-2026-03-31T22-00-26-650Z,91,76-100,true,false,5,6,21.835,21834
lever,raw,baseline_raw,lever-2026-03-31T22-00-53-515Z,lever_baseline_raw_092,runs/lever/raw/lever-2026-03-31T22-00-53-515Z,92,76-100,true,true,0,1,4.207,4206
lever,raw,baseline_raw,lever-2026-03-31T22-01-02-711Z,lever_baseline_raw_093,runs/lever/raw/lever-2026-03-31T22-01-02-711Z,93,76-100,true,false,1,2,7.762,7761
lever,raw,baseline_raw,lever-2026-03-31T22-01-15-252Z,lever_baseline_raw_094,runs/lever/raw/lever-2026-03-31T22-01-15-252Z,94,76-100,true,false,2,3,11.296,11294
lever,raw,baseline_raw,lever-2026-03-31T22-01-31-403Z,lever_baseline_raw_095,runs/lever/raw/lever-2026-03-31T22-01-31-403Z,95,76-100,true,true,0,1,4.211,4210
lever,raw,baseline_raw,lever-2026-03-31T22-01-40-568Z,lever_baseline_raw_096,runs/lever/raw/lever-2026-03-31T22-01-40-568Z,96,76-100,true,false,3,4,14.799,14798
lever,raw,baseline_raw,lever-2026-03-31T22-02-00-450Z,lever_baseline_raw_097,runs/lever/raw/lever-2026-03-31T22-02-00-450Z,97,76-100,true,true,0,1,4.208,4207
lever,raw,baseline_raw,lever-2026-03-31T22-02-09-306Z,lever_baseline_raw_098,runs/lever/raw/lever-2026-03-31T22-02-09-306Z,98,76-100,true,false,2,3,11.316,11315
lever,raw,baseline_raw,lever-2026-03-31T22-02-25-258Z,lever_baseline_raw_099,runs/lever/raw/lever-2026-03-31T22-02-25-258Z,99,76-100,true,false,4,5,18.342,18341
lever,raw,baseline_raw,lever-2026-03-31T22-02-48-363Z,lever_baseline_raw_100,runs/lever/raw/lever-2026-03-31T22-02-48-363Z,100,76-100,true,false,4,5,18.428,18426
lever,raw,baseline_raw,lever-2026-03-31T22-03-11-801Z,lever_baseline_raw_101,runs/lever/raw/lever-2026-03-31T22-03-11-801Z,101,101-125,true,true,0,1,4.221,4219
lever,raw,baseline_raw,lever-2026-03-31T22-03-20-992Z,lever_baseline_raw_102,runs/lever/raw/lever-2026-03-31T22-03-20-992Z,102,101-125,true,false,2,3,11.261,11260
lever,raw,baseline_raw,lever-2026-03-31T22-03-37-197Z,lever_baseline_raw_103,runs/lever/raw/lever-2026-03-31T22-03-37-197Z,103,101-125,true,false,3,4,14.789,14788
lever,raw,baseline_raw,lever-2026-03-31T22-03-56-648Z,lever_baseline_raw_104,runs/lever/raw/lever-2026-03-31T22-03-56-648Z,104,101-125,true,false,1,2,7.814,7813
lever,raw,baseline_raw,lever-2026-03-31T22-04-09-496Z,lever_baseline_raw_105,runs/lever/raw/lever-2026-03-31T22-04-09-496Z,105,101-125,true,false,4,5,18.309,18307
lever,raw,baseline_raw,lever-2026-03-31T22-04-32-646Z,lever_baseline_raw_106,runs/lever/raw/lever-2026-03-31T22-04-32-646Z,106,101-125,true,false,1,2,7.702,7701
lever,raw,baseline_raw,lever-2026-03-31T22-04-45-057Z,lever_baseline_raw_107,runs/lever/raw/lever-2026-03-31T22-04-45-057Z,107,101-125,true,false,1,2,7.788,7787
lever,raw,baseline_raw,lever-2026-03-31T22-04-57-796Z,lever_baseline_raw_108,runs/lever/raw/lever-2026-03-31T22-04-57-796Z,108,101-125,true,false,4,5,18.315,18314
lever,raw,baseline_raw,lever-2026-03-31T22-05-21-054Z,lever_baseline_raw_109,runs/lever/raw/lever-2026-03-31T22-05-21-054Z,109,101-125,true,false,1,2,7.719,7718
lever,raw,baseline_raw,lever-2026-03-31T22-05-33-343Z,lever_baseline_raw_110,runs/lever/raw/lever-2026-03-31T22-05-33-343Z,110,101-125,true,false,4,5,18.297,18296
lever,raw,baseline_raw,lever-2026-03-31T22-05-56-350Z,lever_baseline_raw_111,runs/lever/raw/lever-2026-03-31T22-05-56-350Z,111,101-125,true,true,0,1,4.303,4296
lever,raw,baseline_raw,lever-2026-03-31T22-06-05-442Z,lever_baseline_raw_112,runs/lever/raw/lever-2026-03-31T22-06-05-442Z,112,101-125,true,false,1,2,7.788,7787
lever,raw,baseline_raw,lever-2026-03-31T22-06-17-845Z,lever_baseline_raw_113,runs/lever/raw/lever-2026-03-31T22-06-17-845Z,113,101-125,true,false,1,2,7.735,7733
lever,raw,baseline_raw,lever-2026-03-31T22-06-30-512Z,lever_baseline_raw_114,runs/lever/raw/lever-2026-03-31T22-06-30-512Z,114,101-125,true,false,4,5,18.327,18325
lever,raw,baseline_raw,lever-2026-03-31T22-06-53-764Z,lever_baseline_raw_115,runs/lever/raw/lever-2026-03-31T22-06-53-764Z,115,101-125,true,false,2,3,11.297,11289
lever,raw,baseline_raw,lever-2026-03-31T22-07-09-947Z,lever_baseline_raw_116,runs/lever/raw/lever-2026-03-31T22-07-09-947Z,116,101-125,true,false,2,3,11.283,11274
lever,raw,baseline_raw,lever-2026-03-31T22-07-26-050Z,lever_baseline_raw_117,runs/lever/raw/lever-2026-03-31T22-07-26-050Z,117,101-125,true,false,2,3,11.265,11259
lever,raw,baseline_raw,lever-2026-03-31T22-07-42-151Z,lever_baseline_raw_118,runs/lever/raw/lever-2026-03-31T22-07-42-151Z,118,101-125,true,false,5,6,21.811,21810
lever,raw,baseline_raw,lever-2026-03-31T22-08-08-946Z,lever_baseline_raw_119,runs/lever/raw/lever-2026-03-31T22-08-08-946Z,119,101-125,true,true,0,1,4.194,4193
lever,raw,baseline_raw,lever-2026-03-31T22-08-18-053Z,lever_baseline_raw_120,runs/lever/raw/lever-2026-03-31T22-08-18-053Z,120,101-125,true,false,4,5,18.358,18356
lever,raw,baseline_raw,lever-2026-03-31T22-08-41-197Z,lever_baseline_raw_121,runs/lever/raw/lever-2026-03-31T22-08-41-197Z,121,101-125,true,false,4,5,18.308,18307
lever,raw,baseline_raw,lever-2026-03-31T22-09-04-148Z,lever_baseline_raw_122,runs/lever/raw/lever-2026-03-31T22-09-04-148Z,122,101-125,true,false,5,6,21.876,21875
lever,raw,baseline_raw,lever-2026-03-31T22-09-30-711Z,lever_baseline_raw_123,runs/lever/raw/lever-2026-03-31T22-09-30-711Z,123,101-125,true,false,4,5,18.32,18319
lever,raw,baseline_raw,lever-2026-03-31T22-09-53-722Z,lever_baseline_raw_124,runs/lever/raw/lever-2026-03-31T22-09-53-722Z,124,101-125,true,false,2,3,11.429,11427
lever,raw,baseline_raw,lever-2026-03-31T22-10-09-910Z,lever_baseline_raw_125,runs/lever/raw/lever-2026-03-31T22-10-09-910Z,125,101-125,true,false,5,6,21.963,21961
lever,raw,baseline_raw,lever-2026-03-31T22-10-36-597Z,lever_baseline_raw_126,runs/lever/raw/lever-2026-03-31T22-10-36-597Z,126,126-150,true,false,5,6,21.954,21953
lever,raw,baseline_raw,lever-2026-03-31T22-11-03-206Z,lever_baseline_raw_127,runs/lever/raw/lever-2026-03-31T22-11-03-206Z,127,126-150,true,false,3,4,14.773,14772
lever,raw,baseline_raw,lever-2026-03-31T22-11-22-952Z,lever_baseline_raw_128,runs/lever/raw/lever-2026-03-31T22-11-22-952Z,128,126-150,true,false,3,4,14.757,14754
lever,raw,baseline_raw,lever-2026-03-31T22-11-42-406Z,lever_baseline_raw_129,runs/lever/raw/lever-2026-03-31T22-11-42-406Z,129,126-150,true,false,2,3,11.298,11297
lever,raw,baseline_raw,lever-2026-03-31T22-11-58-698Z,lever_baseline_raw_130,runs/lever/raw/lever-2026-03-31T22-11-58-698Z,130,126-150,true,true,0,1,4.197,4195
lever,raw,baseline_raw,lever-2026-03-31T22-12-07-897Z,lever_baseline_raw_131,runs/lever/raw/lever-2026-03-31T22-12-07-897Z,131,126-150,true,false,3,4,14.804,14803
lever,raw,baseline_raw,lever-2026-03-31T22-12-27-469Z,lever_baseline_raw_132,runs/lever/raw/lever-2026-03-31T22-12-27-469Z,132,126-150,true,false,2,3,11.395,11393
lever,raw,baseline_raw,lever-2026-03-31T22-12-43-569Z,lever_baseline_raw_133,runs/lever/raw/lever-2026-03-31T22-12-43-569Z,133,126-150,true,false,3,4,14.912,14911
lever,raw,baseline_raw,lever-2026-03-31T22-13-03-307Z,lever_baseline_raw_134,runs/lever/raw/lever-2026-03-31T22-13-03-307Z,134,126-150,true,false,2,3,11.284,11278
lever,raw,baseline_raw,lever-2026-03-31T22-13-19-397Z,lever_baseline_raw_135,runs/lever/raw/lever-2026-03-31T22-13-19-397Z,135,126-150,true,false,3,4,14.768,14767
lever,raw,baseline_raw,lever-2026-03-31T22-13-38-983Z,lever_baseline_raw_136,runs/lever/raw/lever-2026-03-31T22-13-38-983Z,136,126-150,true,false,1,2,7.812,7811
